timetomaturity,strike,iscall,spot,rate,vol,premium
154,51,1,52.69,0.00611514,0.360075203,5.707904641
154,32,0,52.69,0.00611514,0.456614343,0.230187207
154,56,1,52.69,0.00611514,0.334005796,3.215057747
154,50,1,52.69,0.00611514,0.365558641,6.303159429
154,56,1,52.69,0.00611514,0.334005796,3.215057747
154,32,0,52.69,0.00611514,0.456614343,0.230187207
154,51,1,52.69,0.00611514,0.360075203,5.707904641
154,50,1,52.69,0.00611514,0.365558641,6.303159429
154,50,1,52.69,0.00611514,0.365558641,6.303159429
277,60,1,53.6,0.006786046,0.305088217,3.319884647
277,39.5,0,53.6,0.006786046,0.38231914,1.473774637
277,52,1,53.6,0.006786046,0.334573668,6.920958502
277,52,1,53.6,0.006786046,0.334573668,6.920958502
277,39.5,0,53.6,0.006786046,0.38231914,1.473774637
277,60,1,53.6,0.006786046,0.305088217,3.319884647
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,42,1,50.85,0.005287333,0.426427134,9.035752809
34,24,0,50.85,0.005287333,0.512084732,7.46E-07
34,32,0,50.85,0.005287333,0.508970715,0.00251562
34,60,1,50.85,0.005287333,0.342217013,0.138904637
34,51,1,50.85,0.005287333,0.344104721,2.058381614
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,51,1,50.85,0.005287333,0.344104721,2.058381614
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,45,1,50.85,0.005287333,0.39004211,6.298356818
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,70,1,50.85,0.005287333,0.374398894,0.005173908
34,75,1,50.85,0.005287333,0.37604817,0.000630388
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,90,1,50.85,0.005287333,0.376293865,4.37E-07
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,51.5,1,50.85,0.005287333,0.341453789,1.81749933
34,48.5,1,50.85,0.005287333,0.361619023,3.557510922
34,70,1,50.85,0.005287333,0.374398894,0.005173908
34,40,1,50.85,0.005287333,0.451401919,10.94890195
34,63,1,50.85,0.005287333,0.357235025,0.057046853
34,55,1,50.85,0.005287333,0.328967852,0.65897825
34,60,1,50.85,0.005287333,0.342217013,0.138904637
34,52,1,50.85,0.005287333,0.338802858,1.595068448
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,63.5,1,50.85,0.005287333,0.359753553,0.049597573
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,55,1,50.85,0.005287333,0.328967852,0.65897825
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,63.5,1,50.85,0.005287333,0.359753553,0.049597573
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,52,1,50.85,0.005287333,0.338802858,1.595068448
34,75,1,50.85,0.005287333,0.37604817,0.000630388
34,40,1,50.85,0.005287333,0.451401919,10.94890195
34,70,1,50.85,0.005287333,0.374398894,0.005173908
34,45,1,50.85,0.005287333,0.39004211,6.298356818
34,40.5,1,50.85,0.005287333,0.445481532,10.46661556
34,55,1,50.85,0.005287333,0.328967852,0.65897825
34,45,1,50.85,0.005287333,0.39004211,6.298356818
34,43.5,1,50.85,0.005287333,0.407502254,7.638853454
34,46,1,50.85,0.005287333,0.379435391,5.446533114
34,55,1,50.85,0.005287333,0.328967852,0.65897825
34,52,1,50.85,0.005287333,0.338802858,1.595068448
34,52,1,50.85,0.005287333,0.338802858,1.595068448
34,41,1,50.85,0.005287333,0.439256621,9.986275085
34,41,1,50.85,0.005287333,0.439256621,9.986275085
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,40.5,1,50.85,0.005287333,0.445481532,10.46661556
34,41,1,50.85,0.005287333,0.439256621,9.986275085
34,90,1,50.85,0.005287333,0.376293865,4.37E-07
34,63.5,1,50.85,0.005287333,0.359753553,0.049597573
34,75,1,50.85,0.005287333,0.37604817,0.000630388
34,75,1,50.85,0.005287333,0.37604817,0.000630388
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,43.5,1,50.85,0.005287333,0.407502254,7.638853454
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,90,1,50.85,0.005287333,0.376293865,4.37E-07
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,64,1,50.85,0.005287333,0.361609449,0.042370897
34,63.5,1,50.85,0.005287333,0.359753553,0.049597573
34,63.5,1,50.85,0.005287333,0.359753553,0.049597573
34,51,1,50.85,0.005287333,0.344104721,2.058381614
34,45,1,50.85,0.005287333,0.39004211,6.298356818
34,50,1,50.85,0.005287333,0.350947306,2.604643874
34,40,1,50.85,0.005287333,0.451401919,10.94890195
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,60,1,50.85,0.005287333,0.342217013,0.138904637
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,60,1,50.85,0.005287333,0.342217013,0.138904637
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,90,1,50.85,0.005287333,0.376293865,4.37E-07
34,90,1,50.85,0.005287333,0.376293865,4.37E-07
34,65,1,50.85,0.005287333,0.365182124,0.030937392
34,40.5,1,50.85,0.005287333,0.445481532,10.46661556
34,55,1,50.85,0.005287333,0.328967852,0.65897825
34,63.5,1,50.85,0.005287333,0.359753553,0.049597573
34,75,1,50.85,0.005287333,0.37604817,0.000630388
34,43.5,1,50.85,0.005287333,0.407502254,7.638853454
34,52,1,50.85,0.005287333,0.338802858,1.595068448
34,45,1,50.85,0.005287333,0.39004211,6.298356818
34,52,1,50.85,0.005287333,0.338802858,1.595068448
34,55,1,50.85,0.005287333,0.328967852,0.65897825
